rating,handle,challengeregdate,submissionnumber,language,provisionalpoints
2629,wleite,2017-10-09 21:57:32,1,Java,818712.44
,ngockien3393,2017-10-09 23:13:17,0,,
,paolog,2017-10-09 23:21:43,8,Java,464321.44
,aureum_borealis,2017-10-09 23:32:14,0,,
,abinashn,2017-10-10 00:32:04,0,,
1233,cjalmeida,2017-10-10 00:35:18,12,Java,848217.23
,penpo,2017-10-10 00:42:51,0,,
1630,ZFTurbo,2017-10-10 02:26:26,5,Java,879781.96
,ArulSelvam,2017-10-10 04:39:26,0,,
,ysfs44or2,2017-10-10 06:50:44,0,,
1505,XD_XD,2017-10-10 10:09:28,0,,
930,_g_r_,2017-10-10 12:27:17,0,,
,mitrevf,2017-10-10 12:27:51,0,,
,HGold325,2017-10-10 13:26:19,0,,
,shantanudev,2017-10-10 17:18:11,0,,
,coderkewang,2017-10-10 20:19:07,0,,
904,rainforest,2017-10-11 01:22:31,0,,
,aletan,2017-10-11 02:22:53,0,,
,thomasscms,2017-10-11 02:36:51,0,,
1714,nizhib,2017-10-11 09:14:50,0,,
,Chyndashgo,2017-10-11 09:38:24,0,,
,tanj,2017-10-11 11:19:09,0,,
1755,gardn999,2017-10-11 16:06:20,2,Java,630386.57
1012,ChaseRLewis,2017-10-12 00:49:36,0,,
,nikhalster,2017-10-12 01:05:42,0,,
588,mani_sdet,2017-10-12 01:56:17,0,,
,EtienneDavid,2017-10-12 04:14:59,0,,
,hasan.asyari,2017-10-12 04:22:38,0,,
,alfiya_Zi,2017-10-12 06:43:00,0,,
,txefsono,2017-10-12 08:11:03,4,Java,836373.44
,tselea,2017-10-12 09:19:48,38,Java,834636.82
,adrianalbert,2017-10-12 10:07:35,0,,
1261,kphmd,2017-10-12 10:40:33,2,Java,78689.92
,mneagul,2017-10-13 00:37:52,2,Java,785913.43
,the1owl,2017-10-13 08:05:17,0,,
,presa,2017-10-13 14:20:40,0,,
1472,AntonioMiguel,2017-10-13 18:09:24,4,Java,509883.00
,swi,2017-10-13 22:37:13,0,,
,nisha18,2017-10-14 00:46:35,0,,
,abhinav_kssk,2017-10-14 05:17:58,0,,
1602,sorokinv,2017-10-14 09:54:10,46,Java,852114.27
,alshev,2017-10-14 17:24:15,0,,
,charlesxjyang,2017-10-14 23:28:41,16,Java,0.00
,fireant,2017-10-15 02:07:30,0,,
973,dwij,2017-10-15 05:32:55,0,,
,jozefr5,2017-10-15 11:44:30,0,,
,shubra,2017-10-16 09:14:01,0,,
1249,ketzjs09,2017-10-16 12:50:24,0,,
,efriesema,2017-10-16 16:55:48,0,,
,rhammell,2017-10-16 18:36:25,11,Java,656517.27
1859,EvbCFfp1XB,2017-10-16 21:17:04,7,Java,279279.05
,joeny.bui,2017-10-16 22:40:45,0,,
,german.novikov,2017-10-17 03:40:25,0,,
,vikas_hada,2017-10-17 07:56:39,0,,
,deepscience,2017-10-17 13:31:22,0,,
,sauravtuladhar,2017-10-17 17:10:53,4,Java,614565.52
,noelkhan78,2017-10-17 22:25:16,0,,
,schuar,2017-10-18 02:26:02,4,Java,769945.05
,siyuanx,2017-10-18 13:54:42,0,,
,aakash_09,2017-10-19 02:34:39,0,,
,kenanfarmer,2017-10-19 14:24:54,0,,
,alina.marcu,2017-10-20 03:04:21,23,Java,877151.52
,Kozyr,2017-10-20 17:05:32,8,Java,715354.61
1252,kruntuid,2017-10-20 22:26:47,0,,
,ioankaza,2017-10-21 06:54:15,0,,
,khalilBF,2017-10-21 22:03:21,0,,
,NikolasEnt,2017-10-22 09:48:28,13,Java,841072.30
1313,tcghanareddy,2017-10-22 16:44:36,26,Java,887549.45
939,rickmatter,2017-10-23 00:18:08,0,,
,vlb117,2017-10-23 11:05:28,0,,
,Jeffrey.Ho,2017-10-23 12:29:21,0,,
,BenFransen,2017-10-23 18:22:06,0,,
,gbrener,2017-10-23 18:43:40,0,,
1136,jianminsun,2017-10-23 22:21:28,0,,
,probezhang,2017-10-24 00:53:47,0,,
,zhangxh,2017-10-24 01:49:22,0,,
,PaHe,2017-10-24 07:40:13,0,,
,soshim,2017-10-24 10:18:55,0,,
,abstractmobius,2017-10-24 10:26:29,0,,
918,masakt,2017-10-24 11:17:23,0,,
,pkhomchuk,2017-10-24 15:04:47,1,Java,0.00
,jordan_dauble,2017-10-25 17:30:14,0,,
,alveron,2017-10-26 04:23:54,0,,
,braskob,2017-10-26 15:03:37,0,,
,dmr454,2017-10-26 15:19:24,0,,
,DukeAMLL,2017-10-26 17:41:23,17,Java,864264.76
,erotemic,2017-10-27 13:30:05,28,Java,875581.83
,zombierules,2017-10-27 15:47:18,0,,
1473,kohrah,2017-10-28 05:05:15,25,Java,784141.02
,ranjodh,2017-10-28 07:46:55,9,Java,741430.43
,samuelansah,2017-10-28 23:11:38,0,,
1695,zaq1xsw2tktk,2017-10-29 09:09:11,14,Java,848684.84
,flowerfan524,2017-10-30 22:15:26,11,Java,403581.16
,marallax,2017-10-31 09:45:05,0,,
,onorabil,2017-10-31 11:08:30,0,,
,JakeYang,2017-10-31 11:17:48,0,,
1019,luizrrodrigues,2017-10-31 11:54:57,0,,
,saiprasannasp,2017-10-31 12:00:24,0,,
,janapriya,2017-10-31 12:11:21,0,,
,haozhu233,2017-10-31 12:30:21,0,,
,pasha786,2017-10-31 12:39:00,0,,
,vasanthkalingeri,2017-10-31 12:45:12,0,,
,hareng,2017-10-31 13:01:33,0,,
,ahed.alrashaida,2017-10-31 13:04:38,0,,
,lddean,2017-10-31 13:07:30,0,,
,sloanSeven,2017-10-31 13:34:51,0,,
1409,Dika,2017-10-31 14:20:48,0,,
,gremerritt,2017-10-31 15:13:18,0,,
,ahmedassal,2017-10-31 16:07:23,0,,
1499,Zapolski,2017-10-31 17:01:39,0,,
,joshthliu,2017-10-31 18:19:46,0,,
1155,bic-user,2017-10-31 18:47:15,2,Java,479741.14
,cpy584136,2017-10-31 20:40:34,0,,
,walkwind,2017-10-31 21:50:57,0,,
,vaibhavnagda22,2017-10-31 22:21:15,0,,
,ai_redx,2017-10-31 23:21:18,0,,
,paschal83,2017-11-01 00:19:08,0,,
,abyu.kishore,2017-11-01 02:32:54,0,,
,rayhan_rahman,2017-11-01 03:40:53,0,,
,sacros,2017-11-01 04:16:48,0,,
,Liaksiejka,2017-11-01 06:01:04,0,,
,why-o-jee,2017-11-01 08:22:21,0,,
,Ngoding,2017-11-01 08:38:26,0,,
,sonamsingh,2017-11-01 09:08:43,0,,
,pisang,2017-11-01 10:02:16,0,,
,jingdao,2017-11-01 10:45:52,2,Java,400246.19
,xiaoyushowyou,2017-11-01 10:52:00,0,,
,agarwal.shiv5,2017-11-01 12:48:27,0,,
,psmurthy,2017-11-01 12:50:41,0,,
,amaney.it,2017-11-01 13:35:26,0,,
,kylelee,2017-11-02 00:37:10,29,Java,886990.30
,ipraznik,2017-11-02 04:10:50,34,Java,865743.10
,antonelly,2017-11-02 07:51:04,0,,
,leaguilar,2017-11-02 14:26:05,0,,
,MotJuMi,2017-11-02 15:58:35,0,,
,diergas,2017-11-02 18:56:30,0,,
,superark,2017-11-03 01:25:54,0,,
,v.stupnitsky,2017-11-03 05:06:51,34,Java,891151.78
958,chok68,2017-11-03 09:06:22,0,,
,selim_sef,2017-11-03 09:59:23,77,Java,894854.71
1068,fivestarwy,2017-11-04 02:22:55,0,,
,pentakill,2017-11-04 13:40:25,0,,
,Prantoran,2017-11-04 13:53:22,0,,
,dmichaelmalloy,2017-11-04 15:27:21,0,,
,olga39,2017-11-04 19:42:46,0,,
1816,ternaus,2017-11-04 22:56:06,14,Java,851294.01
,seariver,2017-11-05 11:37:43,0,,
,cortwave,2017-11-05 12:07:24,24,Java,850514.49
,karthikbecse,2017-11-05 12:10:28,0,,
1999,n01z3,2017-11-05 12:26:12,0,,
,mifril,2017-11-05 12:30:10,22,Java,833519.41
,peARrr,2017-11-05 13:54:36,42,Java,862934.14
,SerB,2017-11-05 14:40:16,0,,
,tsalazar,2017-11-05 19:29:06,0,,
,MaksimovKA,2017-11-06 02:36:08,0,,
1639,ywi4ebyrawi,2017-11-06 05:03:35,15,Java,850072.72
,mmacias,2017-11-06 08:41:07,0,,
,nitinmms,2017-11-06 09:37:49,0,,
,lawiso,2017-11-06 10:21:36,10,Java,864153.14
,cepera_ang,2017-11-06 12:32:41,0,,
,mess,2017-11-06 16:01:54,0,,
1540,forcesh,2017-11-07 03:43:16,0,,
1990,cannab,2017-11-07 04:00:21,33,Java,890207.26
,ZeRoyal,2017-11-07 05:43:50,0,,
,non-pankaj,2017-11-07 08:51:23,0,,
1461,raven17,2017-11-07 14:10:38,0,,
,leblancfg,2017-11-07 16:30:29,0,,
,marcocastangia,2017-11-08 14:16:44,0,,
1308,vatr,2017-11-08 23:51:24,0,,
2158,fugusuki,2017-11-09 00:44:15,0,,
,Aanchal.Bhatia,2017-11-09 04:10:44,0,,
,_sushilshinde,2017-11-09 09:31:24,0,,
,bennibpunkt,2017-11-09 11:53:23,17,Java,810868.23
,mmi333,2017-11-10 06:29:30,0,,
,scizzzo,2017-11-10 08:33:04,12,Java,843008.92
,Rushikesh.Deshp,2017-11-10 09:09:59,0,,
,cwfly,2017-11-10 09:15:53,0,,
,Sudhir.Shahu.51,2017-11-11 22:11:06,0,,
,kritika.upreti,2017-11-11 22:30:47,0,,
,hushunda,2017-11-12 00:14:26,0,,
1280,orange4,2017-11-12 02:09:40,0,,
,orangeFlower,2017-11-12 02:13:51,0,,
,UNSN,2017-11-12 05:53:28,1,Java,600769.40
1662,albu,2017-11-12 07:47:02,23,Java,893503.34
,linuxuser,2017-11-12 11:55:56,0,,
,tensorflight,2017-11-12 14:02:28,1,Java,550734.94
,igabriel1985,2017-11-12 16:50:30,7,Java,838220.26
,tmj010,2017-11-13 01:30:38,0,,
884,deas,2017-11-13 03:50:20,0,,
,sutharm767,2017-11-13 04:41:49,0,,
,jmdrake,2017-11-13 11:49:34,0,,
,Ollmer,2017-11-14 05:27:13,0,,
,Fuzailpalnak,2017-11-14 07:47:41,0,,
1762,all_random,2017-11-14 22:42:59,28,Java,873144.99
,feels_g00d_man,2017-11-15 15:17:41,9,Java,854148.46
,David.Montague,2017-11-16 03:04:12,4,Java,838771.02
966,YDesai,2017-11-16 13:27:14,0,,
,dereyly,2017-11-17 07:34:23,0,,
1523,smudge,2017-11-17 14:30:32,4,Java,522491.93
,Sparkie,2017-11-18 11:16:50,0,,
,jbgeddes3,2017-11-19 23:47:29,0,,
,scidylanpno,2017-11-20 07:26:35,0,,
,gavagai,2017-11-20 19:37:54,0,,
,rajrkrish,2017-11-23 04:55:47,0,,
,gerberka,2017-11-23 05:33:01,0,,
,teddyorkie,2017-11-24 00:07:09,0,,
2020,nofto,2017-11-24 12:14:06,2,Java,718681.21
908,contrius,2017-11-27 03:31:30,0,,
,arsenyinfo,2017-11-27 17:36:21,0,,
797,bluenet,2017-11-28 06:12:17,1,Java,511440.94
746,Gando19850304,2017-11-29 00:33:53,0,,
,bchops,2017-11-29 09:22:28,0,,
,CTNieves,2017-11-29 21:10:46,0,,
,AMengtech,2017-12-01 22:39:15,0,,
,zbigniewwojna,2017-12-02 09:34:09,2,Java,628753.23
,samirazad,2017-12-03 02:01:19,0,,
,Mailis,2017-12-03 13:07:07,0,,
